N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
5000,768,num AND NOT tag,0.05,250,250,0.24084094911813736,0.21229695994406939,0.3175439778715372,0.22921699564903975,1.134453122558081,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.07,350,350,0.18929503858089447,0.25119807105511427,0.2397389616817236,0.2666889922693372,0.753568838270904,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.1,500,500,0.15145097859203815,0.3165489761158824,0.19306293688714504,0.33607392106205225,0.47844406401300416,1.0,12259.855232343883,12033.60122033045,0.9815451318367504,171.04717238726982,380.43326421477406,39.8127039177266,39.86428771202677,reader-bound,10,clustered
20000,768,numeric,0.001,20,20,6.092480034567416,0.085487961769104,7.4464979115873575,0.09233597666025162,71.26711069592122,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.002,40,40,3.407873911783099,0.08594698738306761,4.686907981522381,0.08971698116511106,39.65088266089107,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.004,80,80,1.998372026719153,0.09330105967819691,2.5833729887381196,0.09887991473078728,21.418535155031506,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.005,100,100,,,,,,,2868.802983283477,13011.24781014335,4.535427453875337,411.2463553764486,88.68617865138606,9.921504351663417,39.90878039312373,reader-bound,10,clustered
20000,768,numeric,0.007,140,140,1.1959270341321826,0.10592502076178789,1.8969191005453467,0.11650100350379944,11.290316730941907,0.99,,,,,,,,,10,clustered
20000,768,numeric,0.01,200,200,0.9224729146808386,0.11720799375325441,1.1417069472372532,0.12964103370904922,7.8703924974846275,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.02,400,400,0.529992044903338,0.173117034137249,0.6588289979845285,0.1986270071938634,3.0614667559701534,1.0,9476.157802943799,12459.198559749084,1.3147943310820123,432.8756089147578,172.17670848944525,28.759204257796046,38.862742773331924,reader-bound,10,clustered
20000,768,numeric,0.035,700,700,0.5470969481393695,0.3088110825046897,0.7625650614500046,0.3335310611873865,1.7716234265363877,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.05,1000,1000,0.34629006404429674,0.41007797699421644,0.4977660719305277,0.44853799045085907,0.844449308354788,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.07,1400,1400,0.2717510797083378,0.5334910238161683,0.3831899957731366,0.5660200258716941,0.5093826654560142,1.0,,,,,,,,,10,clustered
20000,768,numeric,0.1,2000,2000,0.20929495804011822,0.7193769561126828,0.31517003662884235,0.7783441105857491,0.2909392026832374,1.0,12249.781833949693,6590.66362654549,0.5380229391742942,190.41622857218837,429.6209785915239,38.47789074774791,24.308808257488067,reader-bound,10,clustered
20000,768,tag,0.001,20,20,8.05675401352346,0.09679002687335014,9.575951029546559,0.10141998063772917,83.23950590555917,1.0,,,,,,,,,10,clustered
20000,768,tag,0.002,40,40,4.029912990517914,0.11367909610271454,5.602883989922702,0.11739309411495924,35.449903532630955,1.0,,,,,,,,,10,clustered
20000,768,tag,0.004,80,80,2.2296890383586287,0.14498992823064327,2.991238026879728,0.1490541035309434,15.378233961270348,1.0,,,,,,,,,10,clustered
20000,768,tag,0.005,100,100,,,,,,,2500.9998965951036,12839.936796152893,5.133921362265294,411.6259992413119,172.79213621399234,8.926828899209175,39.00165360258684,reader-bound,10,clustered
20000,768,tag,0.007,140,140,1.455075922422111,0.17383298836648464,2.0570909837260842,0.18216401804238558,8.370539654731338,0.99,,,,,,,,,10,clustered
20000,768,tag,0.01,200,200,0.9570930851623416,0.2064850414171815,1.2176649179309607,0.217761960811913,4.635169107618962,1.0,,,,,,,,,10,clustered
20000,768,tag,0.02,400,400,0.5917480448260903,0.31900894828140736,0.7329089567065239,0.3390529891476035,1.8549575114240735,1.0,8255.781795048482,11010.237342480768,1.3336395771850835,429.47144892452116,439.5363740397387,25.81793681395965,34.23025937781261,reader-bound,10,clustered
20000,768,tag,0.035,700,700,0.5681579932570457,0.5770249990746379,0.7734899409115314,0.6149400724098086,0.9846332380194758,1.0,,,,,,,,,10,clustered
20000,768,tag,0.05,1000,1000,0.384337967261672,0.7561040110886097,0.5364849930629134,0.7888620020821691,0.5083136203818267,1.0,,,,,,,,,10,clustered
20000,768,tag,0.07,1400,1400,0.2900509862229228,1.0174100752919912,0.4244729643687606,1.1312050046399236,0.2850875898193555,1.0,,,,,,,,,10,clustered
20000,768,tag,0.1,2000,2000,0.22718601394444704,1.317834947258234,0.35766197834163904,1.3896689051762223,0.17239337476753772,1.0,11911.504290354775,2961.452856205282,0.24862123070410927,203.84636208236006,410.73416498123504,37.82209609720898,9.9211150961651,reader-bound,10,clustered
20000,768,text,0.001,20,20,9.195841965265572,0.09556009899824858,10.95672301016748,0.11703697964549065,96.23097989291654,1.0,,,,,,,,,10,clustered
20000,768,text,0.002,40,40,5.610496038571,0.0991669949144125,7.42407504003495,0.10444002691656351,56.57624337021828,1.0,,,,,,,,,10,clustered
20000,768,text,0.004,80,80,2.805490978062153,0.1100669614970684,3.806549939326942,0.11475605424493551,25.48894727267343,1.0,,,,,,,,,10,clustered
20000,768,text,0.005,100,100,,,,,,,1849.3635549037945,12910.865641023052,6.981248011938186,407.4448786199194,111.44084462709426,7.435125522261302,39.94118767608247,reader-bound,10,clustered
20000,768,text,0.007,140,140,1.7583820736035705,0.1315179979428649,2.4778780061751604,0.13963307719677687,13.369896904661376,0.99,,,,,,,,,10,clustered
20000,768,text,0.01,200,200,1.227856962941587,0.15737907961010933,1.5596479643136263,0.16812793910503387,7.80190712757679,1.0,,,,,,,,,10,clustered
20000,768,text,0.02,400,400,0.7272140355780721,0.2582051092758775,0.9380289120599627,0.30409195460379124,2.816420006627697,1.0,6391.197594869022,12051.779438851472,1.8856840615484765,423.1002603596276,313.35316312127617,20.857055088150656,39.415492216512725,reader-bound,10,clustered
20000,768,text,0.035,700,700,0.6682969396933913,0.47331408131867647,0.9069049265235662,0.5208799848333001,1.411952371734817,1.0,,,,,,,,,10,clustered
20000,768,text,0.05,1000,1000,0.43853605166077614,0.5944359581917524,0.6326750153675675,0.6409080233424902,0.7377347309116077,1.0,,,,,,,,,10,clustered
20000,768,text,0.07,1400,1400,0.32060290686786175,0.8090840419754386,0.4834249848499894,0.8297059684991837,0.3962541469549764,1.0,,,,,,,,,10,clustered
20000,768,text,0.1,2000,2000,0.2309629926458001,1.0962040396407247,0.3757220692932606,1.117546926252544,0.21069343324213352,1.0,11930.519760711073,3139.938407790727,0.2631853825959032,242.3840988673183,412.90165248646827,37.44144616649632,11.910624590955814,reader-bound,10,clustered
20000,768,text OR text,0.001,20,20,10.872801998630166,0.09595800656825304,13.218109030276537,0.10209402535110712,113.30791861434258,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.002,40,40,6.202815915457904,0.11056696530431509,8.454740978777409,0.12645695824176073,56.10008286277735,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.004,80,80,3.3765259431675076,0.11479202657938004,4.645240027457476,0.12152502313256264,29.41428985777684,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.005,100,100,,,,,,,1472.339110609072,12884.953450003732,8.751349031727841,406.3161041378313,122.78428660738345,5.938846832708862,40.928095535794476,reader-bound,10,clustered
